ClassValue,C_1,C_2,C_3,C_4,C_5,C_6,C_7,C_8,Total,U_Accuracy,Kappa
C_1,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
C_2,0.000000000000000,5.000000000000000,3.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10.000000000000000,0.500000000000000,0.000000000000000
C_3,4.000000000000000,0.000000000000000,55.000000000000000,2.000000000000000,0.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,65.000000000000000,0.846153846153846,0.000000000000000
C_4,3.000000000000000,3.000000000000000,75.000000000000000,20.000000000000000,0.000000000000000,9.000000000000000,14.000000000000000,0.000000000000000,124.000000000000000,0.161290322580645,0.000000000000000
C_5,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,18.000000000000000,4.000000000000000,4.000000000000000,0.000000000000000,26.000000000000000,0.692307692307692,0.000000000000000
C_6,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,1.000000000000000,1.000000000000000,5.000000000000000,0.600000000000000,0.000000000000000
C_7,2.000000000000000,15.000000000000000,26.000000000000000,5.000000000000000,17.000000000000000,18.000000000000000,57.000000000000000,0.000000000000000,140.000000000000000,0.407142857142857,0.000000000000000
C_8,1.000000000000000,0.000000000000000,16.000000000000000,3.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,9.000000000000000,30.000000000000000,0.300000000000000,0.000000000000000
Total,10.000000000000000,23.000000000000000,175.000000000000000,30.000000000000000,37.000000000000000,39.000000000000000,76.000000000000000,10.000000000000000,400.000000000000000,0.000000000000000,0.000000000000000
P_Accuracy,0.000000000000000,0.217391304347826,0.314285714285714,0.666666666666667,0.486486486486487,0.076923076923077,0.750000000000000,0.900000000000000,0.000000000000000,0.417500000000000,0.000000000000000
Kappa,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.297017604730800
